Time;20210518_MCF7_Bmal1_Luc_1
20.5;1570.92
20.6667;1571.58
20.8333;1584.33
21.0;1583.0
21.1667;1590.53
21.3333;1593.36
21.5;1590.36
21.6667;1597.98
21.8333;1612.52
22.0;1606.86
22.1667;1615.16
22.3333;1606.42
22.5;1605.89
22.6667;1606.25
22.8333;1612.69
23.0;1612.76
23.1667;1610.9
23.3333;1613.28
23.5;1605.97
23.6667;1598.8
23.8333;1592.19
24.0;1592.9
24.1667;1591.43
24.3333;1584.83
24.5;1577.02
24.6667;1570.04
24.8333;1572.86
25.0;1562.5
25.1667;1550.16
25.3333;1557.5
25.5;1544.13
25.6667;1540.28
25.8333;1529.67
26.0;1527.68
26.1667;1513.65
26.3333;1519.3
26.5;1516.68
26.6667;1497.29
26.8333;1485.11
27.0;1484.75
27.1667;1466.55
27.3333;1472.47
27.5;1471.57
27.6667;1461.31
27.8333;1451.4
28.0;1448.08
28.1667;1449.96
28.3333;1440.98
28.5;1421.39
28.6667;1431.41
28.8333;1430.65
29.0;1420.15
29.1667;1422.21
29.3333;1423.35
29.5;1409.81
29.6667;1421.34
29.8333;1422.42
30.0;1415.76
30.1667;1419.46
30.3333;1415.11
30.5;1418.67
30.6667;1424.58
30.8333;1425.32
31.0;1434.45
31.1667;1428.59
31.3333;1434.35
31.5;1441.55
31.6667;1447.66
31.8333;1457.55
32.0;1464.68
32.1667;1476.72
32.3333;1484.49
32.5;1489.21
32.6667;1510.15
32.8333;1513.44
33.0;1528.2
33.1667;1545.46
33.3333;1545.49
33.5;1579.6
33.6667;1574.44
33.8333;1599.85
34.0;1613.22
34.1667;1627.97
34.3333;1644.25
34.5;1660.5
34.6667;1684.96
34.8333;1704.45
35.0;1714.65
35.1667;1732.53
35.3333;1752.99
35.5;1791.57
35.6667;1794.03
35.8333;1810.8
36.0;1835.27
36.1667;1856.0
36.3333;1888.42
36.5;1905.84
36.6667;1930.85
36.8333;1936.95
37.0;1969.34
37.1667;1994.98
37.3333;2022.54
37.5;2032.87
37.6667;2058.54
37.8333;2083.05
38.0;2117.99
38.1667;2126.47
38.3333;2162.07
38.5;2176.69
38.6667;2201.73
38.8333;2228.23
39.0;2244.31
39.1667;2279.15
39.3333;2292.15
39.5;2322.27
39.6667;2341.8
39.8333;2354.0
40.0;2391.01
40.1667;2411.31
40.3333;2414.99
40.5;2449.67
40.6667;2461.5
40.8333;2493.29
41.0;2516.75
41.1667;2531.25
41.3333;2549.45
41.5;2578.45
41.6667;2590.4
41.8333;2618.97
42.0;2634.32
42.1667;2641.81
42.3333;2651.92
42.5;2666.04
42.6667;2698.78
42.8333;2718.65
43.0;2731.07
43.1667;2747.94
43.3333;2756.03
43.5;2774.57
43.6667;2781.17
43.8333;2790.29
44.0;2803.11
44.1667;2820.89
44.3333;2819.71
44.5;2825.6
44.6667;2845.92
44.8333;2854.96
45.0;2840.2
45.1667;2871.53
45.3333;2890.15
45.5;2883.03
45.6667;2887.39
45.8333;2909.44
46.0;2921.88
46.1667;2916.66
46.3333;2923.17
46.5;2927.58
46.6667;2924.28
46.8333;2935.6
47.0;2946.44
47.1667;2943.76
47.3333;2929.77
47.5;2951.39
47.6667;2955.43
47.8333;2962.92
48.0;2958.57
48.1667;2957.88
48.3333;2952.6
48.5;2949.49
48.6667;2958.97
48.8333;2946.33
49.0;2946.07
49.1667;2945.91
49.3333;2956.83
49.5;2953.56
49.6667;2946.63
49.8333;2948.3
50.0;2960.78
50.1667;2936.33
50.3333;2935.12
50.5;2943.77
50.6667;2939.41
50.8333;2944.47
51.0;2943.26
51.1667;2943.49
51.3333;2937.32
51.5;2927.98
51.6667;2921.46
51.8333;2930.32
52.0;2935.55
52.1667;2937.49
52.3333;2928.31
52.5;2936.24
52.6667;2933.61
52.8333;2931.79
53.0;2939.11
53.1667;2929.22
53.3333;2935.99
53.5;2931.52
53.6667;2941.55
53.8333;2945.17
54.0;2954.94
54.1667;2948.22
54.3333;2966.98
54.5;2963.67
54.6667;2961.83
54.8333;2967.8
55.0;2975.69
55.1667;2988.95
55.3333;3003.93
55.5;3004.41
55.6667;3016.89
55.8333;3031.4
